MenuItemID,ItemName,Description,Price,RestaurantID,IsAvailable,PreparationTime,IsVegetarian,IsSpicy,AllergensInfo
24,Om Ali,A classic Om Ali dish prepared with traditional recipes.,34.19,3,1,25,0,0,Dairy
25,Koshary,A classic Koshary dish prepared with traditional recipes.,76.17,3,1,19,1,0,None
26,Kebab,A classic Kebab dish prepared with traditional recipes.,82.48,3,1,40,0,1,Dairy
27,Molokhia,A classic Molokhia dish prepared with traditional recipes.,52.06,3,1,44,1,0,Nuts
28,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,98.62,3,1,17,1,0,Gluten
29,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,48.2,3,1,26,1,0,Gluten
30,Falafel,A classic Falafel dish prepared with traditional recipes.,60.7,3,1,31,1,0,Gluten
31,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,107.97,4,1,21,1,0,None
32,Falafel,A classic Falafel dish prepared with traditional recipes.,133.43,4,1,38,1,0,Nuts
33,Koshary,A classic Koshary dish prepared with traditional recipes.,49.14,4,1,40,1,0,None
34,Molokhia,A classic Molokhia dish prepared with traditional recipes.,39.81,4,1,44,1,0,Dairy
35,Kofta,A classic Kofta dish prepared with traditional recipes.,30.18,4,1,36,0,1,Dairy
36,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,146.04,4,1,24,1,0,Gluten
37,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,138.49,4,1,31,0,0,None
38,Shawarma,A classic Shawarma dish prepared with traditional recipes.,70.92,4,1,28,0,1,Nuts
39,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,105.55,4,1,43,1,0,Dairy
40,Falafel,A classic Falafel dish prepared with traditional recipes.,76.89,4,1,40,1,0,Nuts
41,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,137.04,5,1,16,1,0,Gluten
42,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,20.5,5,1,40,1,0,None
43,Kebab,A classic Kebab dish prepared with traditional recipes.,104.91,5,1,21,0,1,Gluten
44,Om Ali,A classic Om Ali dish prepared with traditional recipes.,128.12,5,1,40,0,0,Nuts
45,Kebab,A classic Kebab dish prepared with traditional recipes.,119.95,5,1,20,0,1,Nuts
46,Koshary,A classic Koshary dish prepared with traditional recipes.,146.79,5,1,44,1,0,Dairy
47,Falafel,A classic Falafel dish prepared with traditional recipes.,87.74,5,1,45,1,0,None
48,Molokhia,A classic Molokhia dish prepared with traditional recipes.,79.83,5,1,19,1,0,Gluten
49,Shawarma,A classic Shawarma dish prepared with traditional recipes.,32.95,5,1,18,0,1,Nuts
50,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,20.37,5,1,31,1,0,Gluten
51,Koshary,A classic Koshary dish prepared with traditional recipes.,98.98,6,1,45,1,0,Nuts
52,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,130.75,6,1,29,0,0,Nuts
53,Kebab,A classic Kebab dish prepared with traditional recipes.,96.92,6,1,21,0,1,None
54,Molokhia,A classic Molokhia dish prepared with traditional recipes.,36.86,6,1,16,1,0,Nuts
55,Falafel,A classic Falafel dish prepared with traditional recipes.,133.43,6,1,34,1,0,None
56,Molokhia,A classic Molokhia dish prepared with traditional recipes.,96.11,6,1,36,1,0,Gluten
57,Kofta,A classic Kofta dish prepared with traditional recipes.,125.02,6,1,34,0,1,None
58,Shawarma,A classic Shawarma dish prepared with traditional recipes.,59.35,6,1,44,0,1,Nuts
59,Falafel,A classic Falafel dish prepared with traditional recipes.,59.74,6,1,42,1,0,Nuts
60,Koshary,A classic Koshary dish prepared with traditional recipes.,44.96,6,1,40,1,0,Dairy
61,Kebab,A classic Kebab dish prepared with traditional recipes.,65.42,7,1,21,0,1,Nuts
62,Om Ali,A classic Om Ali dish prepared with traditional recipes.,117.63,7,1,29,0,0,Gluten
63,Molokhia,A classic Molokhia dish prepared with traditional recipes.,97.77,7,1,32,1,0,Dairy
64,Koshary,A classic Koshary dish prepared with traditional recipes.,106.16,7,1,16,1,0,None
65,Shawarma,A classic Shawarma dish prepared with traditional recipes.,57.18,7,1,25,0,1,Dairy
66,Shawarma,A classic Shawarma dish prepared with traditional recipes.,33.91,7,1,37,0,1,Dairy
67,Om Ali,A classic Om Ali dish prepared with traditional recipes.,82.36,7,1,43,0,0,Gluten
68,Shawarma,A classic Shawarma dish prepared with traditional recipes.,98.43,7,1,21,0,1,None
69,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,111.49,7,1,15,1,0,Gluten
70,Om Ali,A classic Om Ali dish prepared with traditional recipes.,117.69,7,1,31,0,0,None
71,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,86.44,8,1,41,1,0,Nuts
72,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,58.39,8,1,20,0,0,Gluten
73,Om Ali,A classic Om Ali dish prepared with traditional recipes.,22.6,8,1,42,0,0,Dairy
74,Kebab,A classic Kebab dish prepared with traditional recipes.,140.29,8,1,25,0,1,None
75,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,93.79,8,1,22,1,0,Gluten
76,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,72.54,8,1,18,1,0,None
77,Kofta,A classic Kofta dish prepared with traditional recipes.,136.09,8,1,17,0,1,Dairy
78,Kebab,A classic Kebab dish prepared with traditional recipes.,108.8,8,1,18,0,1,None
79,Kofta,A classic Kofta dish prepared with traditional recipes.,48.4,8,1,31,0,1,Dairy
80,Om Ali,A classic Om Ali dish prepared with traditional recipes.,77.21,8,1,37,0,0,None
81,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,136.5,9,1,28,1,0,Dairy
82,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,73.1,9,1,20,0,0,Dairy
83,Shawarma,A classic Shawarma dish prepared with traditional recipes.,147.5,9,1,22,0,1,None
84,Kofta,A classic Kofta dish prepared with traditional recipes.,128.75,9,1,42,0,1,Nuts
85,Falafel,A classic Falafel dish prepared with traditional recipes.,63.27,9,1,27,1,0,Gluten
86,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,46.1,9,1,21,1,0,Gluten
87,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,58.39,9,1,20,1,0,None
88,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,145.57,9,1,20,1,0,Dairy
89,Molokhia,A classic Molokhia dish prepared with traditional recipes.,120.77,9,1,37,1,0,None
90,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,89.81,9,1,35,0,0,Gluten
91,Falafel,A classic Falafel dish prepared with traditional recipes.,110.11,10,1,41,1,0,Gluten
92,Molokhia,A classic Molokhia dish prepared with traditional recipes.,111.68,10,1,37,1,0,None
93,Shawarma,A classic Shawarma dish prepared with traditional recipes.,77.41,10,1,35,0,1,Dairy
94,Molokhia,A classic Molokhia dish prepared with traditional recipes.,23.97,10,1,44,1,0,Gluten
95,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,130.01,10,1,25,0,0,Gluten
96,Shawarma,A classic Shawarma dish prepared with traditional recipes.,72.88,10,1,25,0,1,None
97,Kebab,A classic Kebab dish prepared with traditional recipes.,118.96,10,1,43,0,1,Nuts
98,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,95.07,10,1,20,0,0,None
99,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,93.53,10,1,28,0,0,Dairy
100,Molokhia,A classic Molokhia dish prepared with traditional recipes.,95.2,10,1,16,1,0,None
101,Koshary,A classic Koshary dish prepared with traditional recipes.,146.55,11,1,16,1,0,Gluten
102,Koshary,A classic Koshary dish prepared with traditional recipes.,58.03,11,1,27,1,0,Gluten
103,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,126.44,11,1,41,1,0,Gluten
104,Molokhia,A classic Molokhia dish prepared with traditional recipes.,102.78,11,1,29,1,0,Gluten
105,Falafel,A classic Falafel dish prepared with traditional recipes.,77.93,11,1,35,1,0,Gluten
106,Kofta,A classic Kofta dish prepared with traditional recipes.,116.18,11,1,39,0,1,None
107,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,45.08,11,1,34,0,0,Nuts
108,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,52.15,11,1,19,0,0,Nuts
109,Falafel,A classic Falafel dish prepared with traditional recipes.,142.82,11,1,22,1,0,Nuts
110,Kebab,A classic Kebab dish prepared with traditional recipes.,141.89,11,1,20,0,1,Gluten
111,Kofta,A classic Kofta dish prepared with traditional recipes.,28.56,12,1,43,0,1,Dairy
112,Falafel,A classic Falafel dish prepared with traditional recipes.,120.17,12,1,23,1,0,Gluten
113,Molokhia,A classic Molokhia dish prepared with traditional recipes.,123.68,12,1,31,1,0,Nuts
114,Molokhia,A classic Molokhia dish prepared with traditional recipes.,134.81,12,1,24,1,0,Nuts
115,Om Ali,A classic Om Ali dish prepared with traditional recipes.,94.55,12,1,29,0,0,None
116,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,35.89,12,1,44,0,0,None
117,Shawarma,A classic Shawarma dish prepared with traditional recipes.,33.14,12,1,20,0,1,None
118,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,25.22,12,1,32,1,0,Dairy
119,Koshary,A classic Koshary dish prepared with traditional recipes.,124.89,12,1,35,1,0,Nuts
120,Om Ali,A classic Om Ali dish prepared with traditional recipes.,147.08,12,1,33,0,0,Dairy
121,Kebab,A classic Kebab dish prepared with traditional recipes.,102.28,13,1,37,0,1,Nuts
122,Kofta,A classic Kofta dish prepared with traditional recipes.,76.65,13,1,35,0,1,Gluten
123,Kofta,A classic Kofta dish prepared with traditional recipes.,45.41,13,1,29,0,1,Gluten
124,Koshary,A classic Koshary dish prepared with traditional recipes.,21.67,13,1,34,1,0,Dairy
125,Koshary,A classic Koshary dish prepared with traditional recipes.,38.3,13,1,42,1,0,Dairy
126,Kofta,A classic Kofta dish prepared with traditional recipes.,84.78,13,1,33,0,1,Gluten
127,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,102.29,13,1,16,0,0,Gluten
128,Kebab,A classic Kebab dish prepared with traditional recipes.,61.98,13,1,40,0,1,Gluten
129,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,45.76,13,1,38,1,0,Nuts
130,Molokhia,A classic Molokhia dish prepared with traditional recipes.,86.73,13,1,23,1,0,Dairy
131,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,63.02,14,1,39,0,0,Gluten
132,Koshary,A classic Koshary dish prepared with traditional recipes.,135.95,14,1,17,1,0,Nuts
133,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,133.13,14,1,34,1,0,Gluten
134,Kofta,A classic Kofta dish prepared with traditional recipes.,109.16,14,1,43,0,1,None
135,Shawarma,A classic Shawarma dish prepared with traditional recipes.,69.66,14,1,41,0,1,Gluten
136,Falafel,A classic Falafel dish prepared with traditional recipes.,116.31,14,1,16,1,0,None
137,Kebab,A classic Kebab dish prepared with traditional recipes.,45.85,14,1,16,0,1,Dairy
138,Kofta,A classic Kofta dish prepared with traditional recipes.,80.12,14,1,28,0,1,Gluten
139,Om Ali,A classic Om Ali dish prepared with traditional recipes.,67.61,14,1,41,0,0,None
140,Shawarma,A classic Shawarma dish prepared with traditional recipes.,66.91,14,1,19,0,1,Nuts
141,Kofta,A classic Kofta dish prepared with traditional recipes.,71.88,15,1,21,0,1,None
142,Om Ali,A classic Om Ali dish prepared with traditional recipes.,149.73,15,1,42,0,0,Dairy
143,Molokhia,A classic Molokhia dish prepared with traditional recipes.,93.65,15,1,29,1,0,Dairy
144,Shawarma,A classic Shawarma dish prepared with traditional recipes.,106.35,15,1,15,0,1,None
145,Shawarma,A classic Shawarma dish prepared with traditional recipes.,133.44,15,1,21,0,1,Nuts
146,Kebab,A classic Kebab dish prepared with traditional recipes.,43.11,15,1,15,0,1,Dairy
147,Koshary,A classic Koshary dish prepared with traditional recipes.,102.52,15,1,28,1,0,Dairy
148,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,41.55,15,1,40,1,0,Gluten
149,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,102.13,15,1,33,1,0,Dairy
150,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,63.04,15,1,43,1,0,Gluten
151,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,49.16,16,1,19,0,0,None
152,Molokhia,A classic Molokhia dish prepared with traditional recipes.,59.49,16,1,20,1,0,None
153,Shawarma,A classic Shawarma dish prepared with traditional recipes.,77.2,16,1,32,0,1,Nuts
154,Om Ali,A classic Om Ali dish prepared with traditional recipes.,44.44,16,1,37,0,0,None
155,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,124.2,16,1,42,1,0,Dairy
156,Koshary,A classic Koshary dish prepared with traditional recipes.,56.89,16,1,21,1,0,None
157,Molokhia,A classic Molokhia dish prepared with traditional recipes.,23.02,16,1,40,1,0,Nuts
158,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,70.92,16,1,25,1,0,None
159,Kofta,A classic Kofta dish prepared with traditional recipes.,93.97,16,1,30,0,1,None
160,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,30.31,16,1,32,1,0,Nuts
161,Shawarma,A classic Shawarma dish prepared with traditional recipes.,57.46,17,1,22,0,1,Nuts
162,Falafel,A classic Falafel dish prepared with traditional recipes.,23.5,17,1,18,1,0,None
163,Om Ali,A classic Om Ali dish prepared with traditional recipes.,65.23,17,1,28,0,0,Gluten
164,Kebab,A classic Kebab dish prepared with traditional recipes.,42.98,17,1,33,0,1,Gluten
165,Kofta,A classic Kofta dish prepared with traditional recipes.,66.64,17,1,39,0,1,Dairy
166,Shawarma,A classic Shawarma dish prepared with traditional recipes.,115.86,17,1,45,0,1,Nuts
167,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,110.13,17,1,25,1,0,None
168,Shawarma,A classic Shawarma dish prepared with traditional recipes.,81.0,17,1,36,0,1,Gluten
169,Om Ali,A classic Om Ali dish prepared with traditional recipes.,40.99,17,1,40,0,0,None
170,Koshary,A classic Koshary dish prepared with traditional recipes.,116.6,17,1,44,1,0,None
171,Shawarma,A classic Shawarma dish prepared with traditional recipes.,149.82,18,1,16,0,1,Gluten
172,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,56.47,18,1,32,1,0,Dairy
173,Koshary,A classic Koshary dish prepared with traditional recipes.,72.54,18,1,27,1,0,Nuts
174,Kebab,A classic Kebab dish prepared with traditional recipes.,40.33,18,1,15,0,1,Nuts
175,Om Ali,A classic Om Ali dish prepared with traditional recipes.,107.85,18,1,18,0,0,Dairy
176,Koshary,A classic Koshary dish prepared with traditional recipes.,51.92,18,1,15,1,0,Gluten
177,Kebab,A classic Kebab dish prepared with traditional recipes.,27.72,18,1,21,0,1,Nuts
178,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,118.56,18,1,24,1,0,Dairy
179,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,42.66,18,1,20,0,0,Nuts
180,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,86.4,18,1,38,1,0,Gluten
181,Koshary,A classic Koshary dish prepared with traditional recipes.,27.21,19,1,25,1,0,Dairy
182,Falafel,A classic Falafel dish prepared with traditional recipes.,36.29,19,1,43,1,0,None
183,Kebab,A classic Kebab dish prepared with traditional recipes.,93.78,19,1,19,0,1,Dairy
184,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,87.42,19,1,40,0,0,Gluten
185,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,70.73,19,1,31,1,0,Nuts
186,Molokhia,A classic Molokhia dish prepared with traditional recipes.,21.75,19,1,27,1,0,Gluten
187,Koshary,A classic Koshary dish prepared with traditional recipes.,100.81,19,1,32,1,0,Gluten
188,Kofta,A classic Kofta dish prepared with traditional recipes.,69.91,19,1,30,0,1,Dairy
189,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,96.66,19,1,35,1,0,Gluten
190,Falafel,A classic Falafel dish prepared with traditional recipes.,80.14,19,1,39,1,0,None
191,Koshary,A classic Koshary dish prepared with traditional recipes.,100.19,20,1,18,1,0,Dairy
192,Molokhia,A classic Molokhia dish prepared with traditional recipes.,23.84,20,1,34,1,0,Nuts
193,Om Ali,A classic Om Ali dish prepared with traditional recipes.,43.09,20,1,30,0,0,Nuts
194,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,76.8,20,1,18,1,0,Nuts
195,Kofta,A classic Kofta dish prepared with traditional recipes.,80.35,20,1,16,0,1,Nuts
196,Om Ali,A classic Om Ali dish prepared with traditional recipes.,29.84,20,1,17,0,0,Nuts
197,Om Ali,A classic Om Ali dish prepared with traditional recipes.,83.3,20,1,28,0,0,Nuts
198,Kebab,A classic Kebab dish prepared with traditional recipes.,47.22,20,1,23,0,1,None
199,Shawarma,A classic Shawarma dish prepared with traditional recipes.,118.47,20,1,16,0,1,Nuts
200,Kofta,A classic Kofta dish prepared with traditional recipes.,41.67,20,1,42,0,1,Gluten
201,Molokhia,A classic Molokhia dish prepared with traditional recipes.,96.99,21,1,15,1,0,Dairy
202,Shawarma,A classic Shawarma dish prepared with traditional recipes.,37.41,21,1,39,0,1,Gluten
203,Falafel,A classic Falafel dish prepared with traditional recipes.,114.69,21,1,44,1,0,None
204,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,27.96,21,1,22,1,0,Nuts
205,Falafel,A classic Falafel dish prepared with traditional recipes.,66.14,21,1,31,1,0,Dairy
206,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,148.65,21,1,42,1,0,None
207,Kebab,A classic Kebab dish prepared with traditional recipes.,92.94,21,1,30,0,1,Nuts
208,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,62.41,21,1,25,0,0,Nuts
209,Kebab,A classic Kebab dish prepared with traditional recipes.,32.8,21,1,20,0,1,Gluten
210,Kofta,A classic Kofta dish prepared with traditional recipes.,86.96,21,1,40,0,1,Nuts
211,Falafel,A classic Falafel dish prepared with traditional recipes.,50.13,22,1,45,1,0,None
212,Shawarma,A classic Shawarma dish prepared with traditional recipes.,57.67,22,1,32,0,1,None
213,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,125.84,22,1,34,1,0,Nuts
214,Molokhia,A classic Molokhia dish prepared with traditional recipes.,109.35,22,1,38,1,0,None
215,Om Ali,A classic Om Ali dish prepared with traditional recipes.,91.64,22,1,42,0,0,Nuts
216,Koshary,A classic Koshary dish prepared with traditional recipes.,110.56,22,1,40,1,0,Nuts
217,Koshary,A classic Koshary dish prepared with traditional recipes.,47.43,22,1,36,1,0,None
218,Molokhia,A classic Molokhia dish prepared with traditional recipes.,127.23,22,1,29,1,0,Gluten
219,Koshary,A classic Koshary dish prepared with traditional recipes.,136.8,22,1,15,1,0,None
220,Kebab,A classic Kebab dish prepared with traditional recipes.,71.77,22,1,28,0,1,Gluten
221,Falafel,A classic Falafel dish prepared with traditional recipes.,132.82,23,1,15,1,0,Gluten
222,Koshary,A classic Koshary dish prepared with traditional recipes.,145.46,23,1,31,1,0,None
223,Falafel,A classic Falafel dish prepared with traditional recipes.,53.89,23,1,34,1,0,Dairy
224,Falafel,A classic Falafel dish prepared with traditional recipes.,126.12,23,1,41,1,0,Nuts
225,Molokhia,A classic Molokhia dish prepared with traditional recipes.,48.04,23,1,16,1,0,Gluten
226,Kebab,A classic Kebab dish prepared with traditional recipes.,31.92,23,1,45,0,1,Nuts
227,Kofta,A classic Kofta dish prepared with traditional recipes.,113.33,23,1,24,0,1,Dairy
228,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,31.78,23,1,37,0,0,None
229,Om Ali,A classic Om Ali dish prepared with traditional recipes.,113.4,23,1,30,0,0,Nuts
230,Kebab,A classic Kebab dish prepared with traditional recipes.,35.99,23,1,33,0,1,Nuts
231,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,25.38,24,1,45,1,0,None
232,Molokhia,A classic Molokhia dish prepared with traditional recipes.,87.15,24,1,21,1,0,Dairy
233,Kebab,A classic Kebab dish prepared with traditional recipes.,128.95,24,1,39,0,1,Gluten
234,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,84.31,24,1,38,1,0,Gluten
235,Shawarma,A classic Shawarma dish prepared with traditional recipes.,110.97,24,1,29,0,1,Gluten
236,Om Ali,A classic Om Ali dish prepared with traditional recipes.,51.53,24,1,20,0,0,Gluten
237,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,79.87,24,1,40,1,0,None
238,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,120.54,24,1,32,0,0,Dairy
239,Om Ali,A classic Om Ali dish prepared with traditional recipes.,125.85,24,1,32,0,0,Nuts
240,Kebab,A classic Kebab dish prepared with traditional recipes.,135.2,24,1,19,0,1,Gluten
241,Molokhia,A classic Molokhia dish prepared with traditional recipes.,29.02,25,1,42,1,0,Gluten
242,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,77.62,25,1,25,1,0,Dairy
243,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,65.39,25,1,23,1,0,Nuts
244,Shawarma,A classic Shawarma dish prepared with traditional recipes.,126.02,25,1,40,0,1,Dairy
245,Om Ali,A classic Om Ali dish prepared with traditional recipes.,49.47,25,1,19,0,0,Gluten
246,Molokhia,A classic Molokhia dish prepared with traditional recipes.,55.16,25,1,44,1,0,None
247,Kofta,A classic Kofta dish prepared with traditional recipes.,142.26,25,1,41,0,1,Dairy
248,Kofta,A classic Kofta dish prepared with traditional recipes.,146.3,25,1,43,0,1,None
249,Kebab,A classic Kebab dish prepared with traditional recipes.,66.53,25,1,42,0,1,Dairy
250,Kofta,A classic Kofta dish prepared with traditional recipes.,115.94,25,1,31,0,1,Gluten
251,Stuffed Pigeon,A classic Stuffed Pigeon dish prepared with traditional recipes.,76.9,26,1,28,0,0,Dairy
252,Shawarma,A classic Shawarma dish prepared with traditional recipes.,32.94,26,1,24,0,1,None
253,Shawarma,A classic Shawarma dish prepared with traditional recipes.,36.28,26,1,39,0,1,Dairy
254,Kofta,A classic Kofta dish prepared with traditional recipes.,97.1,26,1,31,0,1,Dairy
255,Kofta,A classic Kofta dish prepared with traditional recipes.,97.64,26,1,15,0,1,None
256,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,122.22,26,1,26,1,0,Gluten
257,Kofta,A classic Kofta dish prepared with traditional recipes.,147.25,26,1,22,0,1,Dairy
258,Falafel,A classic Falafel dish prepared with traditional recipes.,43.29,26,1,38,1,0,Gluten
259,Falafel,A classic Falafel dish prepared with traditional recipes.,78.49,26,1,28,1,0,Gluten
260,Kebab,A classic Kebab dish prepared with traditional recipes.,130.25,26,1,19,0,1,Gluten
261,Om Ali,A classic Om Ali dish prepared with traditional recipes.,137.17,27,1,27,0,0,Gluten
262,Koshary,A classic Koshary dish prepared with traditional recipes.,130.07,27,1,23,1,0,Gluten
263,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,139.89,27,1,38,1,0,Gluten
264,Kofta,A classic Kofta dish prepared with traditional recipes.,21.5,27,1,31,0,1,Dairy
265,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,142.77,27,1,23,1,0,Gluten
266,Om Ali,A classic Om Ali dish prepared with traditional recipes.,136.31,27,1,17,0,0,None
267,Shawarma,A classic Shawarma dish prepared with traditional recipes.,61.33,27,1,33,0,1,Gluten
268,Shawarma,A classic Shawarma dish prepared with traditional recipes.,42.23,27,1,44,0,1,Gluten
269,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,108.57,27,1,24,1,0,Nuts
270,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,79.74,27,1,34,1,0,Nuts
271,Om Ali,A classic Om Ali dish prepared with traditional recipes.,56.99,28,1,21,0,0,None
272,Koshary,A classic Koshary dish prepared with traditional recipes.,71.91,28,1,43,1,0,Nuts
273,Kofta,A classic Kofta dish prepared with traditional recipes.,48.07,28,1,36,0,1,Nuts
274,Shawarma,A classic Shawarma dish prepared with traditional recipes.,96.46,28,1,40,0,1,Dairy
275,Om Ali,A classic Om Ali dish prepared with traditional recipes.,142.25,28,1,22,0,0,Gluten
276,Kebab,A classic Kebab dish prepared with traditional recipes.,122.38,28,1,16,0,1,Gluten
277,Foul Medames,A classic Foul Medames dish prepared with traditional recipes.,33.24,28,1,25,1,0,Gluten
278,Om Ali,A classic Om Ali dish prepared with traditional recipes.,47.16,28,1,20,0,0,None
279,Molokhia,A classic Molokhia dish prepared with traditional recipes.,33.0,28,1,42,1,0,None
280,Tagen Vegetables,A classic Tagen Vegetables dish prepared with traditional recipes.,27.64,28,1,43,1,0,None
281,Falafel,A classic Falafel dish prepared with traditional recipes.,145.44,29,1,23,1,0,None
282,Molokhia,A classic Molokhia dish prepared with traditional recipes.,102.15,29,1,28,1,0,Gluten
